year,quote_dist_bps,n_periods,fill_prob_expected,fill_rate_realized,expected_pnl_bps,realized_pnl_bps,std_pnl_bps,win_rate_pct,spread_capture
2024,2,105408,0.7109495026250039,0.7610902398299939,2.2857920226140855,2.2832707194899817,0.6565229750422462,52.41757556871299,1.0
2024,3,105408,0.679178699175393,0.7405984365513054,2.964811473380357,2.9623937462052217,0.8936404698206795,54.27656440146033,2.0
2024,4,105408,0.6456563062257954,0.7174882361870066,3.587759253287439,3.5874411809350333,1.1365960984270869,56.15835195493793,3.0
2024,5,105408,0.610639233949222,0.6909911961141469,4.144917930897923,4.145947176684881,1.3811392835831733,57.97819759459608,4.0
2024,6,105408,0.574442516811659,0.6612970552519732,4.626824738221268,4.629079386763813,1.621370095759474,59.84420279459444,5.0
2024,7,105408,0.5374298453437496,0.6293165604128719,5.025466843160583,5.034532483302975,1.850334067940977,61.64468229441471,6.0
2024,8,105408,0.5,0.593617182756527,5.334605934334371,5.342554644808743,2.05961046569848,63.4165441411494,7.0
2024,10,105408,0.425557483188341,0.5063467668488161,5.558982751600988,5.569814435336976,2.159387118511487,66.8071871545538,9.0
2024,12,105408,0.35434369377420455,0.42142911353976925,5.470316696952735,5.478578476017001,2.1249447852983585,69.8617801990005,11.0
2024,15,105408,0.259225100817846,0.3089613691560413,4.925399299955811,4.94338190649666,1.9132715961003743,73.97979549851075,14.0
2024,20,105408,0.14185106490048782,0.16887712507589556,3.537498829358577,3.546419626593807,1.374141591223033,79.59103421156115,19.0
2025,2,105120,0.7109495026250039,0.7616438356164383,2.2827886463749363,2.2849315068493152,0.6611010121719121,52.18200439648282,1.0
2025,3,105120,0.679178699175393,0.7400589802130898,2.962016657292845,2.960235920852359,0.90037189360269,54.53435310752619,2.0
2025,4,105120,0.6456563062257954,0.7170281582952815,3.5862850068009653,3.585140791476408,1.1462749229506188,56.72911083397458,3.0
2025,5,105120,0.610639233949222,0.6903348554033486,4.146205238589391,4.142009132420092,1.3949773385780873,59.02739499503914,4.0
2025,6,105120,0.574442516811659,0.6620719178082192,4.632695831585468,4.6345034246575345,1.6412121131668964,61.2253401727086,5.0
2025,7,105120,0.5374298453437496,0.6300894216133942,5.037489045259687,5.040715372907154,1.8780309904323378,63.43926926851362,6.0
2025,8,105120,0.5,0.5962899543378996,5.354422018161133,5.366609589041096,2.0976917986644703,65.4956765897706,7.0
2025,10,105120,0.425557483188341,0.5079623287671233,5.5807409821092655,5.587585616438356,2.2005504007810273,69.36532014907203,9.0
2025,12,105120,0.35434369377420455,0.4238013698630137,5.491727882589404,5.509417808219178,2.165451511144125,72.65095398428731,11.0
2025,15,105120,0.259225100817846,0.30914193302891935,4.944677642433647,4.9462709284627095,1.9497433051762638,77.16096870480352,14.0
2025,20,105120,0.14185106490048782,0.169044901065449,3.551344836513354,3.5499429223744294,1.4003361432387087,83.15137872819358,19.0
